framenr,riders,numbers,boxes
1,"['Matteo JORGENSON', 'Gianni VERMEERSCH', 'Biniam GIRMAY HAILU', 'Matteo JORGENSON', 'Stefan KÜNG', 'Mathieu VAN DER POEL', 'Mathieu VAN DER POEL']","['204', '6', '111', '204', '191', '1', '1']","[(40, 680, 142, 783), (1344, 618, 1441, 713), (1072, 575, 1147, 647), (139, 676, 241, 773), (750, 523, 821, 588), (1136, 569, 1217, 642), (580, 531, 645, 586)]"
2,"['Matteo JORGENSON', 'Gianni VERMEERSCH', 'Biniam GIRMAY HAILU', 'Matteo JORGENSON', 'Stefan KÜNG', 'Mathieu VAN DER POEL', 'Mathieu VAN DER POEL', 'Neilson POWLESS']","['204', '6', '111', '204', '191', '1', '1', '96']","[(23, 678, 130, 787), (1334, 625, 1435, 723), (1054, 586, 1129, 653), (124, 678, 225, 774), (731, 526, 800, 592), (1115, 574, 1195, 649), (580, 531, 645, 586), (1421, 623, 1506, 700)]"
3,"['Matteo JORGENSON', 'Gianni VERMEERSCH', 'Biniam GIRMAY HAILU', 'Matteo JORGENSON', 'Stefan KÜNG', 'Mathieu VAN DER POEL', 'Mathieu VAN DER POEL', 'Neilson POWLESS']","['204', '6', '111', '204', '191', '1', '1', '96']","[(15, 683, 117, 788), (1319, 629, 1422, 727), (1034, 588, 1106, 660), (115, 682, 215, 776), (717, 527, 788, 592), (1095, 578, 1176, 651), (580, 531, 645, 586), (1410, 627, 1495, 709)]"
4,"['Matteo JORGENSON', 'Gianni VERMEERSCH', 'Biniam GIRMAY HAILU', 'Matteo JORGENSON', 'Stefan KÜNG', 'Mathieu VAN DER POEL', 'Neilson POWLESS', 'Tosh VAN DER SANDE']","['204', '6', '111', '204', '191', '1', '96', '16']","[(9, 687, 105, 786), (1314, 631, 1419, 726), (1011, 588, 1084, 661), (108, 683, 205, 783), (694, 527, 763, 591), (1073, 577, 1151, 652), (1406, 628, 1487, 709), (516, 535, 579, 589)]"
5,"['Matteo JORGENSON', 'Gianni VERMEERSCH', 'Wout VAN AERT', 'Matteo JORGENSON', 'Stefan KÜNG', 'Mathieu VAN DER POEL', 'Neilson POWLESS', 'Tosh VAN DER SANDE', 'Tim VAN DIJKE', 'Xandro MEURISSE']","['204', '6', '11', '204', '191', '1', '96', '16', '15', '7']","[(6, 678, 102, 780), (1303, 629, 1400, 722), (1023, 578, 1111, 649), (102, 677, 200, 776), (682, 526, 750, 589), (1057, 577, 1130, 647), (1388, 626, 1475, 707), (503, 533, 571, 588), (748, 520, 816, 584), (441, 537, 506, 587)]"
6,"['Matteo JORGENSON', 'Gianni VERMEERSCH', 'Wout VAN AERT', 'Matteo JORGENSON', 'Stefan KÜNG', 'Mathieu VAN DER POEL', 'Neilson POWLESS', 'Tosh VAN DER SANDE', 'Tim VAN DIJKE', 'Xandro MEURISSE']","['204', '6', '11', '204', '191', '1', '96', '16', '15', '7']","[(8, 669, 102, 768), (1296, 623, 1390, 715), (979, 583, 1055, 651), (104, 670, 205, 765), (672, 513, 740, 579), (1041, 568, 1119, 641), (1376, 620, 1464, 700), (490, 528, 555, 583), (737, 510, 804, 578), (431, 533, 491, 581)]"
7,"['Matteo JORGENSON', 'Gianni VERMEERSCH', 'Wout VAN AERT', 'Matteo JORGENSON', 'Stefan KÜNG', 'Mathieu VAN DER POEL', 'Neilson POWLESS', 'Tosh VAN DER SANDE', 'Tim VAN DIJKE', 'Xandro MEURISSE']","['204', '6', '11', '204', '191', '1', '96', '16', '15', '7']","[(16, 651, 120, 752), (1318, 608, 1426, 695), (966, 576, 1035, 647), (116, 654, 212, 752), (666, 505, 735, 569), (1025, 561, 1102, 634), (1369, 608, 1452, 687), (488, 519, 551, 574), (732, 504, 795, 567), (426, 524, 484, 574)]"
8,"['Matteo JORGENSON', 'Gianni VERMEERSCH', 'Wout VAN AERT', 'Matteo JORGENSON', 'Stefan KÜNG', 'Mathieu VAN DER POEL', 'Neilson POWLESS', 'Tosh VAN DER SANDE', 'Tim VAN DIJKE', 'Xandro MEURISSE']","['204', '6', '11', '204', '191', '1', '96', '16', '15', '7']","[(27, 640, 132, 735), (1285, 599, 1377, 691), (958, 564, 1024, 629), (135, 639, 228, 732), (664, 496, 733, 558), (1012, 552, 1089, 626), (1369, 608, 1452, 687), (485, 510, 548, 560), (732, 494, 791, 553), (425, 515, 481, 562)]"
9,"['Matteo JORGENSON', 'Gianni VERMEERSCH', 'Wout VAN AERT', 'Matteo JORGENSON', 'Stefan KÜNG', 'Mathieu VAN DER POEL', 'Neilson POWLESS', 'Tosh VAN DER SANDE', 'Tim VAN DIJKE', 'Xandro MEURISSE']","['204', '6', '11', '204', '191', '1', '96', '16', '15', '7']","[(57, 621, 155, 717), (1285, 599, 1377, 691), (949, 550, 1007, 620), (163, 621, 252, 716), (668, 484, 733, 544), (1000, 540, 1078, 609), (1369, 608, 1452, 687), (485, 510, 548, 560), (732, 481, 791, 541), (434, 503, 491, 550)]"
10,"['Matteo JORGENSON', 'Gianni VERMEERSCH', 'Wout VAN AERT', 'Matteo JORGENSON', 'Stefan KÜNG', 'Mathieu VAN DER POEL', 'Tosh VAN DER SANDE', 'Tim VAN DIJKE', 'Xandro MEURISSE']","['204', '6', '11', '204', '191', '1', '16', '15', '7']","[(90, 605, 187, 698), (1285, 599, 1377, 691), (950, 535, 1012, 603), (188, 601, 276, 694), (674, 470, 737, 529), (1004, 525, 1077, 593), (485, 510, 548, 560), (735, 469, 790, 522), (442, 488, 499, 532)]"
