framenr,riders,numbers,boxes
1,"['Jhonatan Manuel NARVAEZ PRADO', 'Elmar REINDERS', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Rui OLIVEIRA']","['63', '86', '5', '221', '22', '8']","[(954, 725, 1054, 848), (758, 657, 875, 748), (1129, 709, 1253, 832), (370, 505, 428, 559), (420, 498, 475, 549), (823, 658, 889, 743)]"
2,"['Jhonatan Manuel NARVAEZ PRADO', 'Elmar REINDERS', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Rui OLIVEIRA']","['63', '86', '5', '221', '22', '8']","[(952, 716, 1049, 839), (754, 658, 840, 754), (1127, 708, 1233, 829), (373, 504, 434, 560), (421, 497, 484, 550), (823, 658, 889, 743)]"
3,"['Jhonatan Manuel NARVAEZ PRADO', 'Elmar REINDERS', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Rui OLIVEIRA']","['63', '86', '5', '221', '22', '8']","[(945, 711, 1046, 830), (759, 650, 850, 741), (1121, 701, 1227, 828), (382, 501, 439, 557), (432, 495, 489, 548), (823, 658, 889, 743)]"
4,"['Jhonatan Manuel NARVAEZ PRADO', 'Elmar REINDERS', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Rui OLIVEIRA']","['63', '86', '5', '221', '22']","[(937, 709, 1041, 825), (761, 641, 849, 730), (1110, 695, 1221, 816), (387, 500, 444, 556), (439, 491, 491, 541)]"
5,"['Jhonatan Manuel NARVAEZ PRADO', 'Elmar REINDERS', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Rui OLIVEIRA']","['63', '86', '5', '221', '22']","[(926, 706, 1037, 822), (765, 634, 846, 720), (1110, 695, 1221, 816), (392, 494, 447, 552), (445, 486, 496, 537)]"
6,"['Jhonatan Manuel NARVAEZ PRADO', 'Elmar REINDERS', 'Søren KRAGH ANDERSEN', 'Guillaume VAN KEIRSBULCK', 'Rui OLIVEIRA']","['63', '86', '5', '221', '22']","[(924, 707, 1035, 823), (773, 630, 846, 712), (1110, 695, 1221, 816), (397, 494, 452, 551), (447, 485, 500, 538)]"
7,"['Jhonatan Manuel NARVAEZ PRADO', 'Elmar REINDERS', 'Guillaume VAN KEIRSBULCK', 'Rui OLIVEIRA']","['63', '86', '221', '22']","[(920, 708, 1029, 813), (774, 625, 841, 705), (405, 494, 459, 550), (450, 485, 500, 534)]"
8,"['Jhonatan Manuel NARVAEZ PRADO', 'Elmar REINDERS', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Søren KRAGH ANDERSEN']","['63', '86', '221', '221', '5']","[(913, 704, 1016, 807), (773, 620, 840, 699), (407, 493, 462, 548), (454, 486, 503, 531), (1060, 680, 1188, 784)]"
9,"['Daan HOOLE', 'Elmar REINDERS', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Søren KRAGH ANDERSEN']","['53', '86', '221', '221', '5']","[(901, 699, 999, 802), (773, 620, 840, 699), (415, 486, 464, 540), (455, 480, 503, 530), (1046, 674, 1160, 781)]"
10,"['Daan HOOLE', 'Elmar REINDERS', 'Guillaume VAN KEIRSBULCK', 'Guillaume VAN KEIRSBULCK', 'Søren KRAGH ANDERSEN']","['53', '86', '221', '221', '5']","[(888, 696, 990, 802), (773, 620, 840, 699), (411, 486, 459, 542), (455, 474, 504, 527), (1034, 671, 1153, 772)]"
