                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3933,                 2.0951,                 1.5058,                0.79851,                 0.5423,                0.63437,                 0.4301,                  1.346,                 3.5734,                 1.4632,             0.00023786,             0.00023786,             0.00023786
                      2,                 1.2361,                 1.1947,                 1.3488,                0.85224,                0.58642,                 0.6812,                0.46401,                 1.3631,                 1.9476,                 1.4516,             0.00042875,             0.00042875,             0.00042875
                      3,                 1.1653,                 1.0359,                 1.2962,                 0.8362,                0.59827,                0.70756,                0.48096,                 1.2718,                 2.0383,                 1.3752,             0.00057252,             0.00057252,             0.00057252
                      4,                  1.091,                0.93193,                 1.2501,                 0.8846,                0.63697,                0.73276,                0.50362,                 1.2432,                 2.8258,                 1.3428,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.0447,                0.88135,                 1.2241,                0.83944,                0.65039,                 0.7374,                0.49608,                 1.2782,                  3.278,                 1.3793,             0.00050194,             0.00050194,             0.00050194
                      6,                0.98172,                0.82191,                 1.1869,                 0.8338,                0.66635,                0.75427,                0.51657,                 1.2407,                 2.8962,                 1.3521,             0.00043126,             0.00043126,             0.00043126
                      7,                0.92178,                0.76528,                  1.153,                0.84868,                0.66499,                0.76547,                0.52943,                 1.2307,                 2.3885,                 1.3468,             0.00036057,             0.00036057,             0.00036057
                      8,                0.87533,                0.72782,                  1.133,                0.84463,                0.68946,                0.76842,                0.52988,                 1.2185,                 2.7776,                 1.3465,             0.00028988,             0.00028988,             0.00028988
                      9,                0.82668,                0.68915,                 1.1048,                 0.8597,                0.69391,                0.78432,                0.54335,                 1.2097,                 2.4995,                 1.3424,              0.0002192,              0.0002192,              0.0002192
                     10,                0.78735,                0.65954,                 1.0898,                0.86107,                0.71139,                0.79416,                0.54455,                 1.2203,                 2.7344,                 1.3473,             0.00014851,             0.00014851,             0.00014851
