                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 91.429,                      0,                  5e-05,                0.00045,                  3e-05,                      0,                 3.4816,                 5.4826,                 3.5384,             0.00023762,             0.00023762,             0.00023762
                      2,                      0,                 24.808,                      0,                  5e-05,                0.00045,                  3e-05,                      0,                  3.116,                 4.9817,                 3.0781,             0.00042853,             0.00042853,             0.00042853
                      3,                      0,                 1.9714,                      0,                  5e-05,                0.00045,                  3e-05,                      0,                 3.0755,                 6.6007,                 3.0658,             0.00057232,             0.00057232,             0.00057232
                      4,                      0,                0.06711,                      0,                  5e-05,                0.00045,                  3e-05,                      0,                 3.0431,                 7.6244,                 3.1471,             0.00050194,             0.00050194,             0.00050194
                      5,                      0,                0.01007,                      0,                  5e-05,                0.00045,                  3e-05,                      0,                 3.1137,                 7.9884,                 3.1385,             0.00050194,             0.00050194,             0.00050194
                      6,                      0,                0.00352,                      0,                  5e-05,                0.00045,                  3e-05,                      0,                 3.2925,                    inf,                 3.0884,             0.00043126,             0.00043126,             0.00043126
                      7,                      0,                0.00213,                      0,                  5e-05,                0.00045,                  3e-05,                      0,                 3.3999,                 9.0531,                 3.0161,             0.00036057,             0.00036057,             0.00036057
                      8,                      0,                0.00044,                      0,                  5e-05,                0.00045,                  3e-05,                      0,                 3.5675,                 8.2423,                 3.1006,             0.00028988,             0.00028988,             0.00028988
                      9,                      0,                  4e-05,                      0,                  5e-05,                0.00045,                  3e-05,                      0,                 3.5709,                  8.254,                 3.0701,              0.0002192,              0.0002192,              0.0002192
                     10,                      0,                      0,                      0,                  5e-05,                0.00045,                  3e-05,                      0,                 3.6227,                 8.3313,                 3.1111,             0.00014851,             0.00014851,             0.00014851
